state,contribs-count,contribs-sum
KY,7,11550
DE,6,12000
MD,3,11800
PA,31,53500
IL,21,41200
WI,10,17000
MN,5,6200
NC,23,30700
NH,5,12000
TX,25,51500
CA,42,64500
NJ,16,33300
IN,7,10000
SC,8,13700
NY,26,43500
FL,9,10000
GA,8,14300
OH,22,59380
CT,7,10000
MO,12,17700
LA,2,4000
UT,7,15500
AZ,4,5750
AL,6,14500
OR,10,18500
WA,19,39000
MI,13,18000
TN,3,6000
VA,6,13000
OK,6,13500
KS,7,16750
ID,5,10500
VT,7,10000
AR,2,3500
IA,5,11500
MT,1,2000
ND,4,7000
NV,4,5500
NM,6,19250
MA,12,32500
CO,4,13000
SD,4,7000
AK,2,6000
WV,3,6000
ME,1,1000
NE,3,5000
HI,2,4000
RI,1,1500
,0,0
