"id","name","party","rank","title","committee"
"M000312","James P. McGovern","minority",6,"Member","HSAG"
"D000617","Suzan K. DelBene","minority",7,"Member","HSAG"
"V000132","Filemon Vela","minority",8,"Member","HSAG"
"L000580","Michelle Lujan Grisham","minority",9,"Member","HSAG"
"K000382","Ann M. Kuster","minority",10,"Member","HSAG"
"N000127","Richard M. Nolan","minority",11,"Member","HSAG"
"B001286","Cheri Bustos","minority",12,"Member","HSAG"
"M001185","Sean Patrick Maloney","minority",13,"Member","HSAG"
"K000368","Ann Kirkpatrick","minority",14,"Member","HSAG"
"A000371","Pete Aguilar","minority",15,"Member","HSAG"
"P000610","Stacey E. Plaskett","minority",16,"Member","HSAG"
"A000370","Alma S. Adams","minority",17,"Member","HSAG"
"G000575","Gwen Graham","minority",18,"Member","HSAG"
"A000373","Brad Ashford","minority",19,"Member","HSAG"
"W000813","Jackie Walorski","majority",1,"Chair","HSAG03"
"N000182","Randy Neugebauer","majority",2,"Member","HSAG03"
"T000467","Glenn Thompson","majority",3,"Member","HSAG03"
"G000563","Bob Gibbs","majority",4,"Member","HSAG03"
"C001087","Eric A. ""Rick"" Crawford","majority",5,"Member","HSAG03"
"H001053","Vicky Hartzler","majority",6,"Member","HSAG03"
"B001271","Dan Benishek","majority",7,"Member","HSAG03"
"D000619","Rodney Davis","majority",8,"Member","HSAG03"
"Y000065","Ted S. Yoho","majority",9,"Member","HSAG03"
"R000603","David Rouzer","majority",10,"Member","HSAG03"
"A000374","Ralph Lee Abraham","majority",11,"Member","HSAG03"
"M001194","John R. Moolenaar","majority",12,"Member","HSAG03"
"M000312","James P. McGovern","minority",1,"Ranking Member","HSAG03"
"F000455","Marcia L. Fudge","minority",2,"Member","HSAG03"
"A000370","Alma S. Adams","minority",3,"Member","HSAG03"
"L000580","Michelle Lujan Grisham","minority",4,"Member","HSAG03"
"A000371","Pete Aguilar","minority",5,"Member","HSAG03"
"P000610","Stacey E. Plaskett","minority",6,"Member","HSAG03"
"A000373","Brad Ashford","minority",7,"Member","HSAG03"
"D000617","Suzan K. DelBene","minority",8,"Member","HSAG03"
"D000619","Rodney Davis","majority",1,"Chair","HSAG14"
"T000467","Glenn Thompson","majority",2,"Member","HSAG14"
"S001189","Austin Scott","majority",3,"Member","HSAG14"
"G000564","Christopher P. Gibson","majority",4,"Member","HSAG14"
"D000612","Jeff Denham","majority",5,"Member","HSAG14"
"Y000065","Ted S. Yoho","majority",6,"Member","HSAG14"
"M001194","John R. Moolenaar","majority",7,"Member","HSAG14"
"N000189","Dan Newhouse","majority",8,"Member","HSAG14"
"D000617","Suzan K. DelBene","minority",1,"Ranking Member","HSAG14"
"F000455","Marcia L. Fudge","minority",2,"Member","HSAG14"
"M000312","James P. McGovern","minority",3,"Member","HSAG14"
"K000382","Ann M. Kuster","minority",4,"Member","HSAG14"
"G000575","Gwen Graham","minority",5,"Member","HSAG14"
"T000467","Glenn Thompson","majority",1,"Chair","HSAG15"
"L000491","Frank D. Lucas","majority",2,"Member","HSAG15"
"K000362","Steve King","majority",3,"Member","HSAG15"
"D000616","Scott DesJarlais","majority",4,"Member","HSAG15"
"G000564","Christopher P. Gibson","majority",5,"Member","HSAG15"
"B001271","Dan Benishek","majority",6,"Member","HSAG15"
"A000372","Rick W. Allen","majority",7,"Member","HSAG15"
"B001295","Mike Bost","majority",8,"Member","HSAG15"
